"Time","cluster","namespace","node","pod","type","Value"
1700784000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.0004470322428272467
1700870400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.0011365078165661866
1700956800000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.0017953016178679083
1701043200000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.002481582541217579
1701129600000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.0031688918794185897
1701216000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.0038666779204030405
1701302400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-agent-cpvpa-f7b6678d5-zh94t,RAM,0.004114600295544001
1700784000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.027388979875086747
1700870400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.06847244968771687
1700956800000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.10955591950034699
1701043200000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.1506393893129771
1701129600000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.19172285912560724
1701216000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.23280632893823733
1701302400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,CPU,0.2473567244968772
1700784000000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,RAM,0.007170020818875781
1700870400000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,RAM,0.01792505204718945
1700956800000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,RAM,0.028680083275503122
1701043200000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,RAM,0.03943511450381679
1701129600000,cloudone-dev-v1-eks-cluster,castai-agent,ip-172-16-18-41.ap-northeast-2.compute.internal,castai-cluster-controller-b8579544c-bqgsk,RAM,0.050190145732130466
