"Time","cluster","namespace","node","pod","type","Value"
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-prowler-inven-collector-orzzivckeunczahxj-7b89f47769vfpk,CPU,0.00023001423030942378
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-google-cloud-inven-collector-bokkcdtoksbunfvk-794f6vtmgv,CPU,0.00022844177149733934
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-prowler-inven-collector-jbkkhxcqzudckwcdd-7d44787fc8jrlp,CPU,0.00022619841006884367
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-prowler-inven-collector-jbkkhxcqbhxfggcjm-565dd8c5bkmn2m,CPU,0.00022554367461610243
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-mzc-sms-noti-protocol-wjddfvcnixsrfnk-575856b5-wf6sn,CPU,0.00022272238764460008
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-google-cloud-inven-collector-dovvcbiniocemtv-5b6f749jk6s,CPU,0.0002209293998438276
1701356399000,cloudone-dev-v1-eks-cluster,dev-spaceone,ip-172-16-43-218.ap-northeast-2.compute.internal,console-api-v2-rest-64cdb8dff5-9ng4p,CPU,0.00021811835093276023
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-api-direct-mon-webhook-qrllixcexsjhxrtl-867bbd5674-5kcgk,CPU,0.00021609970150011462
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-openstack-inven-collector-exlluwiqiwumfqj-5cd5c8687l6hvl,CPU,0.00021602578236149428
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-tzts6,CPU,0.0002156346529693518
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-1030a94531fb-vmaauetqosmukhn-7d86b7cc5b-zlnkm,CPU,0.00021481717669856337
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-orzzivckqsohvoibd-55d575cdd8d2szf,CPU,0.0002143065936018208
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-prometheus-mon-webhook-gdnnfdcxwsjinlfbb-677fd48d54jf9bt,CPU,0.00021428337612736404
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-1030a94531fb-vmaauetqosmukhn-7d86b7cc5b-hlmws,CPU,0.0002138183774161258
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-9h8c8,CPU,0.00021262179908718867
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-51f0e2822122-nkllsqtqxsoukirg-84d5c5bbb6-btk4l,CPU,0.0002122257664363405
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-keycloak-identity-auth-aobbckcqinfdjiv-5dcfcc5b66-vnw8w,CPU,0.00021216145055311355
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-bfc46d09140b-jbkkhktqwsjukfk-5bb454b9c6-j8zlb,CPU,0.0002118568005289872
1701356399000,cloudone-dev-v1-eks-cluster,dev-supervisor,ip-172-16-43-96.ap-northeast-2.compute.internal,plugin-github-inven-collector-samuel-wjddfvcobsjsjjikd-7c5cltkh,CPU,0.00020921680699057785
