"Time","pod","type","Value"
1701356399000,newrelic-bundle-newrelic-logging-tfphd,CPU,0.04694245833333334
1701356399000,service-portal-59bb76c698-kgkc7,RAM,0.0457992963027954
1701356399000,supervisor-scheduler-667bf5678d-vxcbb,RAM,0.04521995187139511
1701356399000,vizier-metadata-0,CPU,0.045004112897501974
1701356399000,loki-read-2,CPU,0.04287298803248267
1701356399000,sp1-agent-grafana-agent-0,RAM,0.042373362981319426
1701356399000,loki-read-1,CPU,0.040363696787308216
1701356399000,plugin-azure-cost-mgmt-cost-datasource-aobbckcbidsdjimr-5fm8kl8,RAM,0.03827603611898422
1701356399000,aws-load-balancer-controller-bf9dc8dc9-p2rlr,RAM,0.03807778353627522
1701356399000,newrelic-bundle-nrk8s-kubelet-v6g5m,CPU,0.03791963333333334
1701356399000,newrelic-bundle-nrk8s-kubelet-49vcv,CPU,0.03791963333333334
1701356399000,newrelic-bundle-nrk8s-kubelet-b2d8k,CPU,0.03788506666666667
1701356399000,aws-subnet-available-ip-collector-6dbc4cc88b-fcbh9,RAM,0.0376027010828654
1701356399000,newrelic-bundle-nrk8s-kubelet-54csk,CPU,0.03753568333333333
1701356399000,aws-node-q9mx8,RAM,0.03472208207702636
1701356399000,prometheus-kube-state-metrics-675b965b4c-l9hsn,RAM,0.031752989820480346
1701356399000,castai-agent-6f6ffbf8dc-dwcc8,CPU,0.0316744
1701356399000,external-dns-645c984745-hfhdr,RAM,0.030968150016784667
1701356399000,vizier-cloud-connector-bdcbfb79b-r7c8z,CPU,0.028676049411868177
1701356399000,argo-rollouts-ddb5fb5bd-ndpjg,RAM,0.028614953925927483
1701356399000,aws-node-tf7lf,RAM,0.02799780813725789
1701356399000,prometheus-prometheus-node-exporter-9zr2q,CPU,0.02695981987034604
1701356399000,spin-front50-564ccc86ff-5fj7k,CPU,0.025852146385923227
1701356399000,kelvin-5895d85cbd-qlmdf,RAM,0.025406500000000002
1701356399000,service-portal-59bb76c698-kgkc7,CPU,0.025041259008365655
1701356399000,aws-load-balancer-controller-bf9dc8dc9-l7h8m,RAM,0.024617351977507272
1701356399000,kube-proxy-s62fj,RAM,0.023826667508443197
1701356399000,prometheus-kube-state-metrics-675b965b4c-l9hsn,CPU,0.023530720065282108
1701356399000,spin-gate-66c5fd9d8d-27hd4,CPU,0.023074521300344507
1701356399000,newrelic-bundle-nri-metadata-injection-6c886895bc-mxb6s,RAM,0.02217434346675873
1701356399000,spin-deck-6467b9c487-d9vxg,RAM,0.021896395879109697
1701356399000,inventory-worker-6dd4bd58c7-wccfs,RAM,0.021841749999999997
1701356399000,kube-proxy-xl2p8,RAM,0.02107048795493444
1701356399000,newrelic-bundle-kube-state-metrics-6994bd5884-mf7vc,RAM,0.020391109285990396
1701356399000,prometheus-prometheus-node-exporter-f2r7q,CPU,0.019058164356206303
1701356399000,kube-proxy-hqv4t,CPU,0.01895981666666667
1701356399000,kube-proxy-d6zjh,CPU,0.01895981666666667
1701356399000,plugin-google-cloud-inven-collector-bokkcdtoksbunfvk-794f6vtmgv,RAM,0.018948595231056214
1701356399000,kube-proxy-5r9tq,CPU,0.018942533333333334
1701356399000,metrics-server-9f459d97b-m5rlw,CPU,0.018942533333333334
1701356399000,kube-proxy-xzf98,CPU,0.018776983333333334
1701356399000,event-exporter-d88d4f8f4-74rll,RAM,0.018540140441894528
1701356399000,consul-79695765d7-rq8mx,RAM,0.01739918293428421
1701356399000,redis-replica-node-0,RAM,0.017208084729512532
1701356399000,cni-metrics-helper-7fc768d6cb-qckpt,RAM,0.017106169570922848
1701356399000,plugin-1030a94531fb-vmaauetqosmukhn-7d86b7cc5b-hlmws,RAM,0.016634358665466305
1701356399000,plugin-google-cloud-inven-collector-bokkcdtoksbunfvk-794f65cn5j,RAM,0.015446419840812681
1701356399000,pl-nats-0,CPU,0.015166512874364043
1701356399000,plugin-1030a94531fb-vmaauetqosmukhn-7d86b7cc5b-zlnkm,RAM,0.014985900515556334
1701356399000,spin-rosco-746d4cdd88-5m592,CPU,0.014662469993030985
1701356399000,cni-metrics-helper-7fc768d6cb-qckpt,CPU,0.014484866198100792
1701356399000,spin-echo-b9b896cf9-xj6x7,CPU,0.013846446583399183
1701356399000,otel-collector-opentelemetry-collector-b5867f68f-mf92d,RAM,0.012703250000000001
1701356399000,consul-79695765d7-rq8mx,CPU,0.012492785372301689
1701356399000,prometheus-prometheus-node-exporter-9zr2q,RAM,0.012332382321675618
1701356399000,prometheus-pushgateway-586d87c974-7w8hk,RAM,0.01214100008646647
1701356399000,sp1-agent-grafana-agent-0,CPU,0.012127141706614912
1701356399000,spin-igor-94997965c-27jd6,CPU,0.011885564732521421
1701356399000,argo-rollouts-ddb5fb5bd-ndpjg,CPU,0.010673478320431001
1701356399000,aws-load-balancer-controller-bf9dc8dc9-p2rlr,CPU,0.010226790503024871
1701356399000,prometheus-prometheus-node-exporter-f2r7q,RAM,0.01007884216006597
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-7k7lj,RAM,0.010007811321735382
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-9h8c8,RAM,0.009927142769813537
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-tzts6,RAM,0.009865722649097441
1701356399000,vizier-pem-hxfd7,CPU,0.009682255607277097
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-ltv8g,RAM,0.0096285204911232
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-4vdmj,RAM,0.009090041577816009
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-hcsq5,RAM,0.008878954713821411
1701356399000,plugin-30d21ef75a5d-kgootqtbwsbtdhgb-65966775dc-fdlz5,RAM,0.008790893796443938
1701356399000,keycloak-0,CPU,0.008771339709585425
1701356399000,plugin-51f0e2822122-nkllsqtqxsoukirg-84d5c5bbb6-7tz5j,RAM,0.008377178533077241
1701356399000,plugin-51f0e2822122-nkllsqtqxsoukirg-84d5c5bbb6-btk4l,RAM,0.008284222900867461
1701356399000,newrelic-bundle-nri-prometheus-84879cd44-dbthj,CPU,0.00811743380072006
